Essay_Number,Attribution,Background,Cause,Comparison,Condition,Contrast,Elaboration,Enablement,Evaluation,Explanation,Joint,Manner-Means,Summary,Temporal,Topic-Change,Topic-Comment,
416,13,3,1,0,5,1,47,5,4,2,12,0,1,0,0,0,
417,15,2,1,0,1,4,65,0,7,3,20,0,2,1,0,0,
418,22,3,0,0,0,6,44,0,2,2,10,0,1,1,0,0,
419,3,3,1,0,3,4,19,1,8,1,14,0,2,0,0,2,
420,11,2,0,0,1,10,11,4,4,2,16,0,1,2,0,0,
421,21,1,0,0,4,6,24,1,6,7,16,0,0,2,0,0,
422,13,1,0,0,0,8,36,3,7,4,12,0,1,0,0,0,
423,7,0,1,1,1,2,14,0,2,5,20,0,0,0,0,0,
424,7,0,0,0,0,6,4,0,2,4,8,0,1,0,0,0,
425,11,1,1,0,2,1,14,2,4,3,12,0,0,2,0,0,
426,10,6,0,0,1,10,26,0,7,3,20,0,0,2,0,0,
428,8,0,0,0,1,3,19,1,5,0,0,0,1,0,0,0,
429,13,5,1,1,1,2,27,0,5,6,32,0,1,0,0,0,
430,3,3,0,0,3,7,24,2,5,3,18,1,1,0,0,0,
431,17,2,0,0,2,4,22,3,10,2,12,0,3,0,0,0,
432,24,2,0,0,1,9,41,4,13,8,32,1,4,5,0,0,
433,5,3,1,1,0,3,31,2,6,3,10,0,2,0,0,0,
434,44,6,1,0,1,17,47,4,15,7,22,0,5,19,0,0,
435,7,2,1,1,2,1,17,2,6,2,12,0,0,2,0,0,
436,25,7,1,0,1,7,29,4,11,7,40,0,2,2,0,0,
437,35,5,1,0,2,10,36,1,9,8,24,0,1,8,0,0,
439,45,12,1,0,4,21,53,0,14,11,32,0,2,9,0,0,
440,36,7,2,1,1,10,20,3,7,7,14,1,0,2,0,0,
441,17,2,0,0,2,5,40,1,11,4,22,0,2,2,2,0,
442,13,2,1,0,3,10,27,2,4,10,36,0,1,2,0,0,
443,14,4,0,0,0,6,27,0,5,0,10,0,0,0,0,2,
444,10,1,0,0,0,0,33,2,1,1,6,1,1,2,0,0,
445,4,3,0,0,2,7,26,3,4,6,26,0,0,1,0,0,
446,2,0,0,0,0,1,16,1,2,1,10,0,0,0,0,0,
447,6,2,0,0,0,4,40,1,3,2,22,1,1,0,0,0,
448,13,2,3,0,3,5,37,1,6,2,16,0,0,0,0,0,
449,12,5,0,0,0,5,36,2,2,2,4,0,2,1,6,0,
450,3,2,0,0,0,4,15,0,0,0,20,0,0,0,0,0,
452,18,5,0,1,4,16,39,4,14,9,28,1,3,1,0,0,
453,17,4,2,0,6,7,39,2,12,5,20,0,2,0,0,0,
454,15,3,0,0,4,13,50,1,6,8,42,0,2,2,0,0,
455,3,0,0,0,3,2,27,2,4,0,8,0,1,0,0,0,
456,17,3,0,0,1,10,17,0,3,2,18,0,2,0,0,0,
457,4,1,0,0,0,4,24,1,1,1,8,0,1,0,0,0,
458,17,1,0,0,0,3,28,2,10,6,12,0,0,4,0,0,
459,26,4,0,0,2,7,27,5,7,7,10,0,0,2,0,0,
460,29,5,2,0,5,8,21,2,9,7,14,0,1,0,0,0,
461,10,4,1,1,2,11,53,2,15,7,8,0,6,0,6,0,
464,23,2,0,0,0,7,26,1,4,4,34,1,1,0,0,0,
465,8,2,1,0,0,6,26,2,11,4,26,0,0,2,0,0,
466,11,1,0,0,0,11,46,2,0,0,40,0,1,2,0,0,
467,13,0,0,1,2,6,32,2,14,4,10,0,0,0,0,0,
468,4,0,0,0,0,0,17,1,3,2,2,0,1,0,2,0,
469,6,0,1,0,1,1,16,4,0,4,6,0,0,0,0,0,
470,12,2,1,0,4,5,11,2,10,6,32,0,5,2,0,0,
471,18,0,1,0,3,3,29,3,4,3,16,2,0,0,0,0,
472,16,3,0,0,1,2,2,1,10,4,20,0,2,1,0,0,
473,9,2,0,0,2,5,23,0,6,3,12,0,0,2,0,0,
474,16,9,0,0,1,3,14,1,9,11,30,0,2,2,0,0,
475,9,1,0,0,2,6,5,0,0,2,12,0,0,1,0,2,
476,11,1,0,0,0,7,20,2,1,1,14,0,0,0,0,0,
477,26,5,1,1,1,22,41,3,7,4,18,1,3,0,2,0,
478,10,3,0,0,0,6,20,0,6,4,22,0,1,0,0,0,
479,13,1,0,2,5,3,21,1,8,7,38,0,0,0,0,0,
480,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,
481,10,4,0,1,1,7,12,1,10,1,10,0,1,2,0,2,
482,12,7,0,1,1,2,17,1,11,2,18,0,0,2,0,0,
483,5,0,0,0,0,3,24,1,1,0,6,0,0,0,0,0,
484,5,2,0,0,1,1,8,4,0,4,6,0,0,1,0,0,
485,31,0,0,1,0,7,34,4,11,7,22,1,0,0,0,2,
486,5,1,0,0,0,5,38,3,1,8,18,0,2,3,2,0,
487,10,0,1,0,2,2,21,1,3,5,18,0,0,0,0,0,
488,10,3,0,0,1,9,22,0,5,3,16,0,0,0,0,0,
491,34,3,0,0,2,12,54,0,14,4,24,0,3,3,0,0,
494,19,3,1,0,2,9,26,0,10,5,16,0,0,0,0,0,
496,18,6,0,0,0,10,23,1,6,5,12,0,1,0,0,0,
498,29,2,1,1,3,4,23,2,3,5,18,1,0,1,0,0,
499,14,1,0,0,1,5,28,8,13,6,16,1,1,3,0,0,
500,16,3,0,0,1,1,57,1,1,2,10,0,3,1,0,0,
501,9,3,0,0,2,3,28,3,17,1,22,0,4,2,0,0,
502,2,2,0,0,0,3,5,1,1,3,12,0,0,1,0,0,
504,13,1,1,0,1,8,19,1,3,3,14,0,1,0,0,2,
505,13,3,0,0,1,7,18,2,1,2,20,0,0,2,0,0,
507,20,2,0,0,1,15,42,1,9,4,22,0,1,0,0,0,
508,18,2,0,0,2,4,71,3,10,5,12,0,4,1,2,0,
510,5,0,0,0,1,1,36,3,0,1,10,0,0,0,0,0,
511,9,1,2,0,2,2,25,2,3,3,0,1,3,1,0,0,
512,12,1,0,0,1,4,18,1,4,1,6,0,0,0,0,0,
513,14,9,0,0,2,8,18,3,3,6,38,0,3,0,0,0,
514,11,4,0,0,2,5,11,1,6,5,26,0,1,3,0,0,
515,31,3,1,0,3,18,31,3,16,10,24,0,3,0,0,2,
517,9,1,1,0,0,5,7,3,2,4,4,0,1,1,0,0,
518,14,3,0,0,0,2,13,1,1,5,14,0,0,0,0,0,
519,34,2,1,1,1,6,34,1,6,5,28,0,2,0,0,0,
520,18,4,1,0,1,6,21,2,10,6,20,0,2,7,0,0,
521,15,2,0,0,0,5,23,0,1,4,18,0,1,0,0,0,
522,14,0,0,0,2,4,35,0,3,6,8,0,0,2,0,2,
523,13,3,1,0,2,9,34,2,12,4,22,0,1,0,0,0,
524,13,2,0,0,4,5,27,3,8,3,26,0,1,1,0,0,
525,10,1,1,0,2,7,10,3,12,8,26,0,3,2,0,0,
526,10,1,0,0,1,6,36,3,1,2,18,0,2,2,0,2,
527,28,7,3,1,6,13,59,4,14,7,22,0,6,2,4,4,
528,9,2,0,0,1,0,16,1,1,2,4,1,0,3,0,0,
529,21,3,0,0,2,3,49,3,4,5,4,0,4,2,0,0,
531,16,3,0,0,2,3,19,0,7,10,32,2,1,1,0,0,
532,21,1,1,0,0,5,20,1,2,2,14,0,0,1,0,0,
533,4,1,0,0,0,0,37,1,0,1,10,0,1,1,0,0,
534,16,1,0,0,0,10,33,2,3,3,8,0,2,2,0,0,
536,29,1,0,0,3,10,23,0,7,3,26,0,2,0,0,0,
537,21,1,1,0,1,10,18,3,9,8,12,0,0,0,0,0,
538,9,3,1,0,1,10,18,2,5,3,22,0,1,0,0,0,
539,14,5,0,1,2,5,39,3,3,4,14,0,0,0,0,0,
540,7,1,0,0,1,0,38,1,0,1,14,0,1,0,0,0,
541,24,1,0,0,2,9,72,2,4,1,6,0,2,1,0,0,
542,15,5,1,0,0,5,32,1,3,5,18,0,3,1,0,0,
543,13,0,0,1,2,9,20,2,2,3,20,0,0,2,0,0,
544,8,4,0,1,4,4,19,0,2,5,6,0,1,0,0,0,
545,2,1,0,0,1,4,13,0,7,4,2,1,1,0,2,0,
546,18,4,1,1,1,15,47,1,12,14,32,0,1,0,0,0,
547,4,1,0,0,0,2,6,1,4,4,4,0,0,0,0,0,
548,3,0,0,0,0,0,17,3,0,0,2,0,0,0,0,0,
549,8,1,0,0,0,7,14,3,2,1,12,0,0,0,0,0,
550,13,1,2,0,0,2,25,3,1,6,8,0,1,0,0,0,
551,9,4,0,0,2,6,25,2,8,0,12,0,4,2,4,0,
552,12,3,0,0,0,8,14,0,11,4,18,2,2,3,0,0,
553,22,3,3,0,3,11,24,5,16,3,28,0,0,2,0,0,
554,14,3,0,0,2,3,21,2,7,4,12,0,1,1,0,0,
555,3,0,0,0,1,6,26,0,3,3,4,0,0,0,0,1,
558,18,5,1,0,0,9,28,1,2,1,14,0,0,1,0,2,
559,36,8,0,0,1,18,66,1,6,2,24,0,7,7,0,0,
561,25,5,0,0,6,8,37,3,16,7,28,0,1,2,0,0,
562,20,1,0,0,3,1,21,0,14,4,16,1,0,0,0,0,
564,10,8,0,0,2,14,23,4,16,7,30,0,2,0,0,2,
566,10,2,2,0,0,10,10,3,4,2,6,0,0,2,0,0,
567,16,3,0,0,3,11,27,2,8,15,26,0,2,6,0,0,
568,10,1,0,0,1,5,6,3,3,4,14,0,1,0,0,0,
569,2,2,0,0,0,1,40,1,0,2,16,0,0,2,0,0,
571,5,3,0,0,1,4,14,2,6,3,24,0,0,2,0,0,
572,6,3,0,0,2,1,26,3,4,4,12,0,0,0,0,0,
573,4,0,0,0,0,4,12,0,1,1,6,0,0,0,0,0,
574,10,2,0,0,0,5,9,2,9,1,6,0,1,1,0,0,
575,16,2,1,0,2,8,27,2,6,4,16,0,1,1,0,0,
576,18,3,0,0,0,1,33,5,0,2,24,0,0,2,0,0,
577,18,1,1,1,0,11,36,4,1,2,14,0,1,0,0,0,
578,6,2,0,0,0,5,7,0,2,0,6,0,1,2,2,0,
579,27,2,2,1,2,10,30,2,3,5,32,0,1,0,0,0,
581,14,1,0,0,0,2,16,0,1,4,10,0,1,0,0,0,
582,21,1,0,0,1,6,50,3,4,6,22,0,0,0,0,0,
583,17,9,3,0,0,6,24,1,11,6,28,0,1,0,0,0,
585,9,2,0,0,0,4,28,0,6,2,12,0,3,4,4,4,
587,13,6,2,0,1,8,13,1,9,6,4,0,0,0,0,0,
588,12,4,1,0,4,7,31,3,6,6,14,0,1,2,0,0,
589,13,5,0,0,2,9,34,1,7,5,16,0,3,3,0,0,
592,11,0,1,0,0,5,30,1,1,1,0,0,0,1,0,0,
594,18,3,0,0,3,7,12,2,12,11,8,0,0,0,0,2,
595,13,8,0,0,3,4,39,5,10,5,16,1,2,0,0,0,
596,27,3,1,0,2,16,65,8,9,10,26,1,5,5,0,0,
597,17,5,0,0,4,11,28,2,8,9,12,0,1,2,0,0,
598,20,1,0,0,0,6,22,1,7,6,12,0,0,1,0,0,
600,13,2,0,2,0,4,30,1,10,1,2,0,0,4,6,0,
602,8,2,0,0,2,4,4,0,3,4,4,0,0,0,0,0,
603,12,1,0,0,0,4,27,1,3,4,28,0,2,6,0,0,
606,21,1,0,0,2,4,37,1,9,6,4,0,1,0,0,0,
609,20,3,1,1,4,17,19,3,12,1,24,0,0,4,0,2,
610,8,1,0,0,0,6,32,1,0,1,10,0,0,0,0,0,
611,6,0,0,0,0,0,31,2,0,3,18,0,1,2,0,0,
612,12,1,0,0,2,11,20,2,4,2,8,0,1,3,0,0,
613,7,1,1,0,0,4,25,0,5,2,16,0,1,2,0,0,
615,7,0,0,0,0,1,8,0,5,2,8,0,0,4,0,0,
616,13,1,0,0,2,1,23,3,4,1,10,0,0,0,0,0,
617,17,4,0,0,3,14,25,3,15,6,22,0,0,6,0,0,
618,9,5,0,0,0,6,51,3,3,1,10,0,4,1,0,0,
621,14,1,0,0,0,5,27,0,6,2,8,0,0,0,0,0,
623,30,3,1,0,1,12,84,4,10,16,36,0,3,1,0,0,
624,40,6,3,1,4,12,49,9,28,6,32,1,3,8,0,2,
625,10,2,0,0,0,2,14,1,1,1,8,0,0,2,0,0,
626,22,1,0,0,1,6,23,1,7,5,36,1,1,0,0,0,
627,20,8,0,0,1,13,30,2,14,5,22,1,1,6,0,0,
628,18,6,0,0,0,12,17,1,3,4,18,0,3,0,0,0,
629,20,7,1,0,0,13,34,0,7,3,14,0,1,2,0,0,
630,7,3,0,0,1,4,30,3,1,1,8,0,2,1,0,2,
631,12,0,0,0,0,4,13,2,1,5,20,0,0,1,0,0,
634,4,1,0,0,0,3,9,0,0,2,2,0,1,0,0,0,
635,15,3,1,1,2,2,35,2,4,2,16,0,1,1,0,2,
636,11,3,0,0,1,6,35,1,2,1,10,0,2,2,0,0,
637,10,3,1,0,0,1,45,3,9,0,2,0,3,2,2,0,
638,0,10,0,0,0,1,3,23,1,0,3,0,0,0,0,0,0
640,17,4,0,0,3,2,30,0,2,1,24,0,0,3,0,0,
642,7,3,1,0,0,3,13,1,8,1,6,0,2,1,0,0,
643,22,1,1,0,1,11,25,3,6,13,10,0,2,0,0,0,
644,23,1,1,0,2,6,38,5,8,2,22,0,0,0,0,0,
645,35,1,0,0,1,4,22,2,6,6,24,0,1,1,0,0,
646,32,5,0,0,1,5,57,0,12,4,18,1,1,10,2,0,
647,34,5,1,0,5,15,65,2,11,3,34,0,4,0,0,0,
648,17,12,0,0,2,7,25,0,9,3,22,0,2,0,0,0,
649,23,2,1,0,3,5,50,1,2,3,8,0,2,0,0,0,
650,14,2,0,2,0,14,90,0,12,6,14,0,5,8,16,0,
651,8,2,0,0,0,3,24,2,2,2,16,0,1,0,0,0,
652,21,2,2,0,2,4,81,4,7,2,14,0,3,0,0,0,
653,26,9,1,1,2,23,57,6,16,8,14,0,3,4,0,0,
654,33,5,0,1,1,9,18,2,8,13,56,0,0,2,0,0,
655,17,1,0,0,3,9,30,3,4,2,18,0,3,2,0,0,
657,16,4,0,0,3,5,46,2,11,4,4,0,0,2,0,0,
658,9,0,0,0,4,5,23,1,6,4,4,0,0,1,0,0,
659,22,6,2,0,2,3,52,2,11,3,20,0,3,0,2,0,
661,8,2,1,0,1,1,16,2,4,0,6,0,1,0,0,0,
662,16,3,1,0,6,8,17,2,11,4,22,0,0,1,0,0,
663,14,6,1,0,5,11,35,6,11,5,14,0,3,4,0,0,
664,28,5,0,0,5,13,28,0,10,6,4,0,1,3,0,0,
665,11,4,0,0,1,4,32,2,5,3,8,0,0,0,2,0,
666,11,6,2,0,1,4,26,4,3,9,6,0,1,2,0,2,
667,16,4,1,0,2,5,40,1,9,4,16,0,0,1,0,2,
668,11,4,1,0,0,11,19,1,4,5,14,0,1,0,2,0,
669,21,9,0,0,1,5,33,0,10,4,24,0,3,0,0,0,
671,6,0,0,2,0,6,41,1,10,2,4,0,2,2,6,0,
672,11,3,0,0,1,5,43,4,13,6,10,1,1,0,0,0,
673,6,10,0,0,1,6,24,3,3,6,4,0,0,2,0,0,
675,17,1,0,0,0,3,44,1,2,5,20,0,0,0,0,0,
677,20,1,1,0,1,9,4,3,8,4,8,0,2,0,0,0,
678,32,2,1,0,5,7,45,0,8,2,44,0,0,3,0,0,
679,13,3,4,0,1,4,21,1,9,2,18,0,0,0,0,0,
680,13,1,0,0,1,4,19,0,2,1,20,0,1,2,0,0,
682,11,2,0,0,0,11,24,2,5,2,22,0,1,0,0,0,
683,12,8,0,0,2,9,43,3,6,7,18,2,1,0,0,0,
684,43,9,0,0,2,16,48,2,13,7,20,0,3,2,6,0,
685,19,6,1,0,0,11,36,2,9,11,20,0,0,1,0,0,
686,11,4,1,0,2,6,14,3,6,4,20,0,1,6,0,0,
687,16,3,2,0,1,5,71,5,8,2,0,0,1,1,4,0,
688,29,5,5,2,2,13,58,5,12,9,24,0,8,6,4,0,
690,12,8,1,1,2,0,48,4,20,2,20,0,5,0,4,0,
691,15,2,0,0,1,22,19,1,19,6,10,0,1,3,0,0,
692,10,4,0,0,0,5,8,1,3,3,12,0,1,3,0,0,
693,6,3,0,0,0,6,25,0,3,1,2,1,1,0,0,0,
694,20,3,1,0,0,4,28,6,3,3,28,0,2,0,0,0,
695,27,2,0,0,1,6,38,2,10,3,18,0,0,4,0,0,
696,6,2,0,0,2,1,33,0,0,1,6,0,1,1,0,0,
697,37,1,1,1,1,7,45,3,7,3,10,0,2,0,0,2,
698,5,0,1,0,0,4,14,1,6,1,10,0,0,2,2,0,
700,31,1,0,0,5,0,38,7,3,5,14,0,1,0,0,0,
701,10,1,0,0,0,6,17,0,7,2,12,0,1,2,2,0,
702,26,3,0,1,1,10,28,2,11,4,20,0,3,0,0,0,
703,14,1,0,0,1,8,13,1,7,1,8,0,0,0,0,0,
704,17,1,3,0,0,8,47,7,10,5,20,0,2,2,2,0,
705,2,1,0,1,0,1,15,2,0,0,2,0,0,0,0,0,
706,10,1,0,0,1,4,11,1,4,2,18,0,0,0,0,0,
707,15,5,2,0,2,6,16,2,5,1,32,0,1,0,0,0,
708,22,3,1,0,3,7,28,2,9,5,12,0,0,0,0,0,
709,17,9,0,0,1,11,35,7,16,5,42,0,4,3,0,0,
710,19,5,0,0,2,6,17,1,6,1,26,0,0,1,0,0,
712,33,7,2,0,6,12,12,1,2,2,4,0,0,3,0,2,
713,16,1,2,0,2,7,16,2,11,11,16,0,1,1,0,0,
714,16,2,1,0,2,12,39,2,18,12,22,0,3,0,0,0,
715,17,2,2,0,3,3,22,2,5,3,4,0,0,1,0,0,
716,4,2,0,0,1,7,24,0,7,4,6,0,0,0,2,0,
717,8,5,2,0,1,11,26,1,8,2,4,0,3,0,2,0,
718,8,1,0,0,0,5,18,2,8,3,30,0,0,0,0,0,
719,30,3,0,1,2,7,44,6,15,3,22,0,0,0,0,0,
720,22,3,2,5,3,10,34,1,4,3,12,0,1,0,2,0,
721,13,0,0,0,0,1,30,0,0,1,2,0,0,0,0,0,
722,37,3,0,0,0,8,103,2,7,4,12,0,2,4,4,0,
723,4,2,0,1,2,5,30,1,1,1,2,0,0,0,0,0,
724,7,1,0,0,1,1,13,2,6,3,8,0,1,2,0,0,
725,17,5,1,0,0,8,24,3,11,6,12,0,1,1,0,0,
726,12,1,0,2,0,4,37,2,2,2,12,0,2,1,0,0,
727,14,4,1,0,0,7,40,3,8,0,4,1,5,3,0,0,
728,25,2,0,0,0,19,37,4,5,5,18,0,0,0,0,0,
729,24,1,0,0,2,7,59,1,7,5,38,0,3,1,0,2,
730,40,7,1,1,1,13,67,7,5,4,28,0,2,8,2,2,
731,20,1,3,0,3,7,59,7,8,5,14,0,3,1,0,0,
732,15,3,1,0,1,9,36,2,5,2,14,0,1,0,2,0,
733,21,0,0,0,2,6,11,0,12,5,6,0,1,0,0,0,
734,30,4,2,0,3,21,26,4,10,13,72,0,2,2,0,0,
735,15,6,0,0,2,7,48,2,9,3,6,0,3,1,2,0,
736,24,2,0,0,0,13,36,2,6,7,10,0,1,4,0,0,
737,58,5,0,1,4,12,26,4,17,8,64,0,1,0,0,0,
738,24,0,0,0,0,3,51,1,10,5,16,0,2,1,0,0,
739,4,0,1,0,0,0,22,1,0,2,4,0,1,0,0,0,
740,13,5,2,0,4,8,31,1,7,2,8,0,1,1,0,0,
741,15,5,0,0,2,6,47,3,11,11,32,0,2,3,0,0,
742,8,6,1,0,3,3,22,0,1,2,24,0,0,0,0,0,
743,6,1,0,0,0,7,17,1,6,6,16,0,1,0,0,2,
745,4,5,0,0,0,8,22,0,0,3,10,0,1,0,0,0,
746,18,0,0,0,0,7,31,2,3,0,16,0,1,2,0,0,
748,21,7,0,0,1,10,32,6,5,7,20,0,2,4,0,0,
749,10,3,0,0,1,6,19,1,6,6,16,0,1,0,0,0,
750,8,1,0,0,1,1,28,3,0,0,2,0,0,0,0,0,
751,20,3,0,0,4,8,24,1,5,2,4,0,1,1,0,0,
753,26,11,0,0,3,10,36,6,11,4,38,0,3,5,0,0,
755,22,6,0,0,0,14,55,3,11,7,8,0,1,6,6,0,
756,23,10,1,1,5,15,45,0,19,0,22,0,3,0,0,0,
757,20,4,0,0,0,5,71,6,8,5,16,0,5,2,4,0,
758,10,1,0,2,2,4,28,0,1,7,10,0,0,0,0,2,
759,33,2,1,0,3,3,22,2,4,3,12,1,1,0,0,2,
761,20,6,2,0,1,8,40,1,4,3,18,0,3,2,0,0,
762,7,2,0,0,3,4,13,4,5,6,16,0,3,0,0,0,
763,18,1,2,0,2,2,29,1,1,2,4,0,3,2,0,0,
767,20,2,1,0,4,15,34,7,11,5,22,0,3,0,0,0,
768,7,1,0,0,3,6,22,2,0,5,2,0,0,0,0,0,
769,9,3,0,0,0,5,23,2,6,2,14,0,1,1,0,0,
770,10,3,0,0,2,3,26,2,4,3,22,0,0,0,0,0,
771,11,3,0,0,1,9,14,0,5,3,22,0,1,1,0,0,
772,10,1,0,0,0,6,28,3,2,1,14,0,2,0,0,0,
773,5,3,0,1,0,4,17,2,2,4,14,0,0,0,0,0,
774,26,5,0,1,2,14,53,5,15,3,26,1,5,4,0,0,
775,12,1,0,0,2,5,42,1,9,3,14,0,1,3,0,0,
776,18,9,1,0,0,7,72,1,16,7,6,0,6,6,16,0,
777,22,2,5,4,1,15,65,14,11,4,22,2,7,6,14,4,
779,19,5,5,0,2,5,26,6,4,3,8,0,0,0,0,0,
780,34,1,2,0,2,4,40,1,3,1,14,0,2,0,0,0,
781,35,1,0,0,1,9,25,1,4,8,16,1,0,2,0,0,
782,12,6,0,0,3,13,48,1,8,6,40,0,1,2,0,0,
783,29,3,1,0,3,10,17,6,12,6,18,0,3,5,0,0,
784,32,3,0,0,0,6,75,2,11,5,22,0,2,6,8,0,
785,6,0,2,0,0,4,29,4,1,2,0,0,1,0,0,0,
786,11,2,2,0,2,4,14,2,5,5,8,0,1,0,0,2,
787,23,2,1,0,1,6,40,2,7,2,6,0,0,2,0,0,
788,12,1,0,0,0,2,25,4,1,3,10,0,1,1,0,0,
789,12,1,0,0,0,2,15,0,2,9,8,0,2,2,0,0,
790,14,5,0,0,1,2,26,1,5,3,10,0,0,2,0,0,
791,13,3,0,0,2,4,33,2,6,3,8,0,1,0,0,0,
792,5,2,0,0,0,4,31,0,5,2,16,0,4,3,4,0,
793,6,0,0,0,0,2,21,1,2,0,8,0,0,0,0,0,
795,13,1,0,0,5,7,18,1,3,4,14,1,1,2,0,0,
796,32,6,0,1,4,17,35,5,15,5,36,0,2,4,2,0,
797,8,4,0,0,0,5,20,2,7,1,18,0,2,2,2,0,
799,12,3,0,0,1,6,30,0,6,4,30,0,0,5,2,0,
800,23,6,0,0,1,17,29,2,13,4,26,1,0,2,0,0,
801,21,1,1,0,3,11,15,1,6,6,24,0,3,4,0,0,
802,23,3,3,1,2,6,12,1,3,4,22,0,0,0,0,0,
803,24,7,0,0,1,12,37,2,12,4,20,0,3,0,0,0,
804,7,3,0,0,1,4,21,1,3,0,6,1,3,0,0,0,
805,26,8,2,0,1,9,73,2,5,0,22,0,2,8,0,2,
806,2,0,0,0,1,1,19,1,1,1,8,0,0,0,0,0,
807,12,3,1,0,0,9,10,1,7,5,20,0,3,1,0,0,
808,10,0,0,0,1,6,27,0,1,4,12,0,1,0,0,0,
809,24,3,1,0,2,13,24,1,6,9,30,1,1,1,0,0,
810,11,8,0,0,1,17,28,3,20,6,14,0,2,2,0,0,
811,6,6,1,0,1,2,17,3,5,3,30,0,1,2,0,0,
812,23,1,2,2,0,8,35,4,9,3,20,0,2,1,2,0,
813,6,3,0,0,2,6,47,3,8,2,8,1,0,1,0,0,
814,9,0,0,0,0,2,23,0,0,0,8,0,1,4,0,0,
815,31,8,0,0,1,13,31,1,9,9,26,0,1,0,0,2,
